,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,98.6368931701,0.11423246944,0.0355125869852,68.1509419786,0.077616499767,0.0216286142878
1,62.3021882837,0.0695031148185,0.0199451170426,56.8106994191,0.0629192207921,0.0180024670943
2,54.8403025852,0.0609072998741,0.016639222867,52.7411888866,0.0594219840004,0.0161513380882
3,51.3305759766,0.0577167930928,0.0156646699793,50.5308416009,0.0532658410502,0.0139910182094
4,48.7372042577,0.0550569649058,0.0147262867129,48.5249949977,0.0578421290608,0.0149268572535
5,47.3291624315,0.0535401936946,0.0143140097271,45.7185346977,0.0525052852309,0.0140461376207
6,46.1089451239,0.0521337675932,0.0139307897483,43.6678312838,0.0479331592188,0.0130801173248
7,45.5260006273,0.0514022716205,0.0136897338727,42.1308759558,0.0486920414117,0.0125726634249
8,44.3565355381,0.0498269339529,0.0132371501557,44.4709275956,0.0509862114996,0.0132950205498
9,43.5981028709,0.0494431204662,0.0131838952865,42.5622292487,0.0480672693712,0.0127045584558
10,43.179191052,0.0487392743256,0.0129299068147,42.8652278871,0.0508213084403,0.0137916476668
11,43.2057314457,0.0488656320983,0.0130128687057,43.1237224579,0.0478992894467,0.0130390670456
12,42.6012059672,0.047877612786,0.0125282432912,41.7517511152,0.0458799823649,0.0115538331901
13,42.6314904849,0.0478595291099,0.0125050745749,44.2016433069,0.0502655327653,0.0128129925658
14,42.0708403297,0.0472316822065,0.0122241085499,42.1501502734,0.044814864061,0.011638748785
15,41.2644169444,0.046225569029,0.0117561217296,40.9838778852,0.0450121066068,0.011546913813
16,41.1191122453,0.0459878222776,0.0115986297695,41.2632365999,0.0458613348889,0.011682650233
17,40.8901056546,0.0455002067721,0.0114978056791,39.4091654523,0.0444213554559,0.0111415297582
18,40.2143046988,0.0449010942477,0.0112650724246,39.8796336708,0.0450426925994,0.0112483630545
19,39.9034159665,0.0447890093009,0.0111752277077,38.7129479252,0.0442501668761,0.0110130242912
20,39.500153499,0.0440548414946,0.0109263329944,37.4431404172,0.0415665683554,0.0101097834535
21,39.2077134415,0.0436907874321,0.0107055409407,38.9511046799,0.0398996433231,0.00981019571947
22,38.6193560381,0.0429293349285,0.0104790534458,38.7598192128,0.0436576095795,0.0106589382763
23,38.4416307221,0.0428299544482,0.0104860561754,39.5015142176,0.0451854385054,0.0110584749648
24,37.5961440239,0.0418707272,0.0101379320977,37.2638645295,0.0411656156093,0.0102910539538
25,37.1102369781,0.041429919611,0.00995541257327,37.3546739704,0.0407397476877,0.00974916665633
26,37.5542806746,0.0415840458026,0.0100606137617,36.0077585214,0.0402378612485,0.0100284012343
27,36.4038292987,0.0407455053052,0.00977026560846,36.1581823919,0.0407254156304,0.00910197713275
28,36.1178294788,0.0401944586701,0.00949432440981,35.540761647,0.0403129202408,0.00952222055937
29,35.4032762624,0.0395726791407,0.00935378018317,35.6772249803,0.0377876156936,0.00873631703825
30,35.1975063942,0.0390855564119,0.00920435750612,34.2937481064,0.0383158270118,0.00931137711988
31,35.0625604953,0.0390683501591,0.0092171982676,34.5156758889,0.0387304655038,0.00917004229098
32,34.707367936,0.0386652578526,0.00913642493469,34.9250470314,0.0387864445718,0.00929210668544
33,34.2489601043,0.0384012817165,0.00904467157868,34.797043413,0.0377061208935,0.0084301275402
34,33.9822090241,0.0379066356108,0.00894507924523,33.1703634585,0.0368846648863,0.00868628386751
35,34.2669896706,0.0385227489223,0.00924247739808,34.477432509,0.0403312615043,0.00926626910433
36,33.6688790313,0.0376881302508,0.00879180053018,33.749173678,0.0377368816221,0.00876601965521
37,33.6268293182,0.0374095651857,0.00874722237671,33.2870910847,0.0369442540879,0.00880580424301
38,33.0980069792,0.0368726387651,0.00856203727733,33.1903935474,0.0365964822094,0.00883315231661
39,32.971398802,0.0367837850663,0.0085833447596,31.6383807035,0.0348868082924,0.00832198721635
40,33.2610675433,0.0369322476288,0.00874635127901,33.0744836312,0.0354219666536,0.00815991294284
41,31.8942179838,0.0358498377611,0.00827064652628,31.9168456297,0.035930386841,0.0078905026663
42,32.0356595102,0.0356818511474,0.00818875704256,32.4212403896,0.032685681211,0.00742708537091
43,31.6816174965,0.0353854366498,0.00812040948201,32.2032097523,0.0375534443507,0.00869673744479
44,31.8421920963,0.0354477522999,0.00811409213865,30.7238718721,0.0337813338876,0.00771656018347
45,31.32654344,0.0350305476032,0.00802068457491,30.6310158182,0.0343462183606,0.00806388624185
46,31.389203222,0.0351355485509,0.00809275431115,30.8302946327,0.0342055919114,0.00796231574755
47,30.8700189284,0.0344767695195,0.00786684341901,30.8042430506,0.0335027441562,0.00760285686502
48,30.7616029639,0.0344167756901,0.00784642286103,31.1604735667,0.0347313823899,0.00763497334089
49,30.4836935609,0.0341353134049,0.00773779123095,31.3638345366,0.0352142802465,0.00802496884436
50,30.1407811472,0.0337312406601,0.00763041087134,30.9202862557,0.0348580168754,0.00774985049967
51,30.316078605,0.0339417081983,0.00765262850497,29.5203370392,0.0323942052156,0.00747867814329
52,29.8508769942,0.0334329944473,0.00751877431555,30.6273447369,0.0335022477754,0.00752062910605
53,30.1447448608,0.0337118823473,0.00765568723259,29.4019748507,0.0323289540387,0.00752819169925
54,29.6323140604,0.0332133396837,0.00748472146111,30.562832457,0.0349234355583,0.00804534197404
55,29.599003432,0.0330185363642,0.00739135708292,30.2794956524,0.0335200453954,0.00750755999379
56,29.5945739433,0.0330356412943,0.00740635208279,28.8058698035,0.0313299740092,0.00702084992362
